Record_ID,City,Location,Date,Time,Vehicle_Count,Traffic_Density,Accident_Reported,Weather,Road_Type
48,Udaipur,Fatehpura,03-01-2024,00:00:00,181,Low,Yes,Rainy,NH
49,Udaipur,Fatehpura,03-01-2024,01:00:00,392,Medium,Yes,Clear,City Road
50,Udaipur,Udiapole,03-01-2024,02:00:00,255,High,No,Clear,Residential
51,Udaipur,Surajpole,03-01-2024,03:00:00,131,Medium,No,Clear,NH
52,Udaipur,Goverdhan Vilas,03-01-2024,04:00:00,177,High,No,Rainy,City Road
53,Udaipur,Goverdhan Vilas,03-01-2024,05:00:00,185,High,Yes,Foggy,NH
54,Udaipur,Goverdhan Vilas,03-01-2024,06:00:00,293,High,No,Clear,Residential
55,Udaipur,Surajpole,03-01-2024,07:00:00,105,High,Yes,Rainy,City Road
56,Udaipur,Chetak Circle,03-01-2024,08:00:00,431,Medium,Yes,Clear,City Road
57,Udaipur,Goverdhan Vilas,03-01-2024,09:00:00,104,Medium,No,Rainy,NH
58,Udaipur,Chetak Circle,03-01-2024,10:00:00,376,Low,Yes,Foggy,Residential
59,Udaipur,Surajpole,03-01-2024,11:00:00,147,Low,No,Foggy,NH
60,Udaipur,Surajpole,03-01-2024,12:00:00,64,High,No,Foggy,Residential
61,Udaipur,Chetak Circle,03-01-2024,13:00:00,392,Medium,Yes,Foggy,Residential
62,Udaipur,Goverdhan Vilas,03-01-2024,14:00:00,172,Low,Yes,Clear,NH
63,Udaipur,Fatehpura,03-01-2024,15:00:00,439,Low,Yes,Foggy,NH
64,Udaipur,Chetak Circle,03-01-2024,16:00:00,84,Medium,No,Foggy,NH
65,Udaipur,Udiapole,03-01-2024,17:00:00,140,Low,No,Clear,NH
66,Udaipur,Fatehpura,03-01-2024,18:00:00,482,High,No,Rainy,Residential
67,Udaipur,Surajpole,03-01-2024,19:00:00,106,Low,No,Rainy,Residential
68,Udaipur,Fatehpura,03-01-2024,20:00:00,75,High,No,Rainy,Residential
69,Udaipur,Fatehpura,03-01-2024,21:00:00,164,High,No,Foggy,Residential
70,Udaipur,Goverdhan Vilas,03-01-2024,22:00:00,428,Medium,Yes,Foggy,Residential
71,Udaipur,Surajpole,03-01-2024,23:00:00,154,High,No,Foggy,City Road
72,Udaipur,Chetak Circle,04-01-2024,00:00:00,60,High,No,Clear,Residential
73,Udaipur,Hiran Magri,04-01-2024,01:00:00,242,Low,Yes,Clear,City Road
74,Udaipur,Fatehpura,04-01-2024,02:00:00,407,Low,Yes,Clear,City Road
75,Udaipur,Fatehpura,04-01-2024,03:00:00,85,Medium,No,Rainy,Residential
76,Udaipur,Udiapole,04-01-2024,04:00:00,174,Low,No,Foggy,City Road
77,Udaipur,Goverdhan Vilas,04-01-2024,05:00:00,468,Low,Yes,Rainy,NH
78,Udaipur,Udiapole,04-01-2024,06:00:00,185,Medium,Yes,Clear,Residential
79,Udaipur,Surajpole,04-01-2024,07:00:00,270,Low,No,Foggy,Residential
80,Udaipur,Hiran Magri,04-01-2024,08:00:00,382,Low,No,Foggy,Residential
81,Udaipur,Chetak Circle,04-01-2024,09:00:00,479,Low,No,Foggy,Residential
82,Udaipur,Goverdhan Vilas,04-01-2024,10:00:00,58,Low,No,Foggy,Residential
83,Udaipur,Udiapole,04-01-2024,11:00:00,163,High,Yes,Foggy,NH
84,Udaipur,Udiapole,04-01-2024,12:00:00,364,Low,Yes,Clear,City Road
85,Udaipur,Surajpole,04-01-2024,13:00:00,186,High,Yes,Rainy,NH
86,Udaipur,Fatehpura,04-01-2024,14:00:00,336,Medium,No,Rainy,Residential
87,Udaipur,Hiran Magri,04-01-2024,15:00:00,110,Low,No,Rainy,City Road
88,Udaipur,Goverdhan Vilas,04-01-2024,16:00:00,304,Medium,Yes,Rainy,Residential
89,Udaipur,Chetak Circle,04-01-2024,17:00:00,131,Low,No,Clear,City Road
90,Udaipur,Hiran Magri,04-01-2024,18:00:00,73,Medium,No,Rainy,City Road
91,Udaipur,Goverdhan Vilas,04-01-2024,19:00:00,394,High,Yes,Clear,Residential
92,Udaipur,Hiran Magri,04-01-2024,20:00:00,461,High,Yes,Clear,NH
93,Udaipur,Hiran Magri,04-01-2024,21:00:00,385,High,Yes,Clear,Residential
94,Udaipur,Udiapole,04-01-2024,22:00:00,112,Medium,No,Foggy,NH
95,Udaipur,Fatehpura,04-01-2024,23:00:00,213,High,No,Clear,City Road
96,Udaipur,Udiapole,05-01-2024,00:00:00,390,Medium,Yes,Foggy,Residential
97,Udaipur,Hiran Magri,05-01-2024,01:00:00,271,Medium,Yes,Rainy,NH
98,Udaipur,Chetak Circle,05-01-2024,02:00:00,239,Medium,No,Foggy,City Road
99,Udaipur,Fatehpura,05-01-2024,03:00:00,308,Medium,No,Foggy,City Road
100,Udaipur,Chetak Circle,05-01-2024,04:00:00,230,High,Yes,Foggy,Residential
101,Udaipur,Hiran Magri,05-01-2024,05:00:00,250,Medium,Yes,Rainy,Residential
102,Udaipur,Fatehpura,05-01-2024,06:00:00,113,Medium,Yes,Clear,Residential
103,Udaipur,Chetak Circle,05-01-2024,07:00:00,353,Medium,Yes,Foggy,NH
104,Udaipur,Goverdhan Vilas,05-01-2024,08:00:00,372,Low,Yes,Rainy,City Road
105,Udaipur,Chetak Circle,05-01-2024,09:00:00,270,High,Yes,Foggy,NH
106,Udaipur,Hiran Magri,05-01-2024,10:00:00,412,Medium,Yes,Foggy,Residential
107,Udaipur,Surajpole,05-01-2024,11:00:00,100,High,No,Foggy,City Road
108,Udaipur,Udiapole,05-01-2024,12:00:00,165,Low,Yes,Foggy,Residential
109,Udaipur,Chetak Circle,05-01-2024,13:00:00,115,Medium,No,Foggy,NH
110,Udaipur,Surajpole,05-01-2024,14:00:00,219,Low,Yes,Foggy,City Road
111,Udaipur,Udiapole,05-01-2024,15:00:00,454,Low,No,Clear,City Road
112,Udaipur,Goverdhan Vilas,05-01-2024,16:00:00,172,Medium,No,Foggy,NH
113,Udaipur,Hiran Magri,05-01-2024,17:00:00,221,High,Yes,Clear,Residential
114,Udaipur,Surajpole,05-01-2024,18:00:00,120,Medium,No,Clear,City Road
115,Udaipur,Fatehpura,05-01-2024,19:00:00,80,High,Yes,Foggy,City Road
116,Udaipur,Hiran Magri,05-01-2024,20:00:00,427,Medium,Yes,Foggy,Residential
117,Udaipur,Goverdhan Vilas,05-01-2024,21:00:00,264,High,Yes,Rainy,City Road
118,Udaipur,Udiapole,05-01-2024,22:00:00,361,Low,No,Rainy,NH
119,Udaipur,Hiran Magri,05-01-2024,23:00:00,318,High,No,Rainy,City Road
120,Udaipur,Fatehpura,06-01-2024,00:00:00,438,Low,Yes,Rainy,Residential
121,Udaipur,Fatehpura,06-01-2024,01:00:00,498,Medium,No,Clear,City Road
122,Udaipur,Udiapole,06-01-2024,02:00:00,491,High,Yes,Clear,City Road
123,Udaipur,Surajpole,06-01-2024,03:00:00,144,Low,Yes,Rainy,City Road
124,Udaipur,Surajpole,06-01-2024,04:00:00,127,High,No,Clear,Residential
125,Udaipur,Surajpole,06-01-2024,05:00:00,477,High,No,Foggy,Residential
126,Udaipur,Fatehpura,06-01-2024,06:00:00,187,Medium,Yes,Clear,Residential
127,Udaipur,Fatehpura,06-01-2024,07:00:00,499,High,No,Foggy,Residential
128,Udaipur,Fatehpura,06-01-2024,08:00:00,250,Low,Yes,Clear,NH
129,Udaipur,Udiapole,06-01-2024,09:00:00,112,High,Yes,Rainy,NH
130,Udaipur,Goverdhan Vilas,06-01-2024,10:00:00,468,High,Yes,Foggy,City Road
131,Udaipur,Hiran Magri,06-01-2024,11:00:00,259,Medium,No,Clear,NH
132,Udaipur,Surajpole,06-01-2024,12:00:00,91,Medium,No,Clear,NH
133,Udaipur,Udiapole,06-01-2024,13:00:00,90,Low,No,Foggy,City Road
134,Udaipur,Udiapole,06-01-2024,14:00:00,335,Low,No,Rainy,City Road
135,Udaipur,Surajpole,06-01-2024,15:00:00,217,Medium,No,Foggy,NH
136,Udaipur,Surajpole,06-01-2024,16:00:00,289,Low,Yes,Clear,City Road
137,Udaipur,Surajpole,06-01-2024,17:00:00,188,Medium,No,Rainy,Residential
138,Udaipur,Hiran Magri,06-01-2024,18:00:00,187,Low,Yes,Foggy,Residential
139,Udaipur,Udiapole,06-01-2024,19:00:00,167,Medium,No,Foggy,City Road
140,Udaipur,Surajpole,06-01-2024,20:00:00,393,Medium,No,Foggy,Residential
141,Udaipur,Hiran Magri,06-01-2024,21:00:00,104,High,Yes,Clear,Residential
142,Udaipur,Surajpole,06-01-2024,22:00:00,58,Low,No,Rainy,Residential
143,Udaipur,Udiapole,06-01-2024,23:00:00,77,Low,Yes,Foggy,NH
144,Udaipur,Surajpole,07-01-2024,00:00:00,55,Low,Yes,Rainy,City Road
145,Udaipur,Fatehpura,07-01-2024,01:00:00,151,Low,No,Rainy,Residential
146,Udaipur,Hiran Magri,07-01-2024,02:00:00,118,Low,No,Foggy,Residential
147,Udaipur,Udiapole,07-01-2024,03:00:00,415,Medium,No,Rainy,NH
148,Udaipur,Surajpole,07-01-2024,04:00:00,239,High,Yes,Foggy,NH
149,Udaipur,Goverdhan Vilas,07-01-2024,05:00:00,306,Medium,No,Rainy,City Road
150,Udaipur,Hiran Magri,07-01-2024,06:00:00,272,Low,No,Clear,City Road
151,Udaipur,Hiran Magri,07-01-2024,07:00:00,82,Low,Yes,Rainy,City Road
152,Udaipur,Surajpole,07-01-2024,08:00:00,386,Low,No,Rainy,NH
153,Udaipur,Goverdhan Vilas,07-01-2024,09:00:00,433,Medium,Yes,Clear,City Road
154,Udaipur,Hiran Magri,07-01-2024,10:00:00,438,Low,Yes,Clear,NH
155,Udaipur,Chetak Circle,07-01-2024,11:00:00,184,Medium,Yes,Clear,City Road
156,Udaipur,Hiran Magri,07-01-2024,12:00:00,357,Medium,Yes,Foggy,Residential
157,Udaipur,Hiran Magri,07-01-2024,13:00:00,372,High,Yes,Rainy,NH
158,Udaipur,Hiran Magri,07-01-2024,14:00:00,435,High,No,Clear,NH
159,Udaipur,Goverdhan Vilas,07-01-2024,15:00:00,475,Low,No,Rainy,NH
160,Udaipur,Surajpole,07-01-2024,16:00:00,209,Medium,Yes,Clear,Residential
161,Udaipur,Chetak Circle,07-01-2024,17:00:00,132,High,Yes,Rainy,City Road
162,Udaipur,Goverdhan Vilas,07-01-2024,18:00:00,183,Low,Yes,Foggy,Residential
163,Udaipur,Fatehpura,07-01-2024,19:00:00,123,Medium,No,Clear,Residential
164,Udaipur,Fatehpura,07-01-2024,20:00:00,111,High,Yes,Foggy,Residential
165,Udaipur,Fatehpura,07-01-2024,21:00:00,340,Medium,Yes,Rainy,NH
166,Udaipur,Udiapole,07-01-2024,22:00:00,79,Low,Yes,Rainy,NH
167,Udaipur,Fatehpura,07-01-2024,23:00:00,98,Low,Yes,Rainy,Residential
168,Udaipur,Hiran Magri,08-01-2024,00:00:00,68,Low,Yes,Foggy,City Road
169,Udaipur,Chetak Circle,08-01-2024,01:00:00,303,Low,No,Clear,Residential
170,Udaipur,Chetak Circle,08-01-2024,02:00:00,417,Low,No,Foggy,Residential
171,Udaipur,Chetak Circle,08-01-2024,03:00:00,369,High,Yes,Rainy,Residential
172,Udaipur,Hiran Magri,08-01-2024,04:00:00,487,High,No,Foggy,City Road
173,Udaipur,Udiapole,08-01-2024,05:00:00,363,Low,No,Foggy,Residential
174,Udaipur,Chetak Circle,08-01-2024,06:00:00,282,High,Yes,Rainy,NH
175,Udaipur,Udiapole,08-01-2024,07:00:00,301,Low,No,Rainy,NH
176,Udaipur,Hiran Magri,08-01-2024,08:00:00,416,Medium,No,Rainy,Residential
177,Udaipur,Goverdhan Vilas,08-01-2024,09:00:00,369,Medium,No,Foggy,Residential
178,Udaipur,Udiapole,08-01-2024,10:00:00,193,High,No,Foggy,City Road
179,Udaipur,Surajpole,08-01-2024,11:00:00,156,Medium,Yes,Clear,City Road
180,Udaipur,Chetak Circle,08-01-2024,12:00:00,304,Low,Yes,Clear,City Road
181,Udaipur,Fatehpura,08-01-2024,13:00:00,57,High,No,Clear,NH
182,Udaipur,Udiapole,08-01-2024,14:00:00,133,Medium,Yes,Clear,City Road
183,Udaipur,Goverdhan Vilas,08-01-2024,15:00:00,269,Low,Yes,Foggy,NH
184,Udaipur,Goverdhan Vilas,08-01-2024,16:00:00,445,High,Yes,Foggy,Residential
185,Udaipur,Goverdhan Vilas,08-01-2024,17:00:00,265,Low,Yes,Clear,City Road
186,Udaipur,Goverdhan Vilas,08-01-2024,18:00:00,187,High,Yes,Rainy,City Road
187,Udaipur,Fatehpura,08-01-2024,19:00:00,56,Low,No,Rainy,Residential
188,Udaipur,Surajpole,08-01-2024,20:00:00,383,Low,No,Foggy,NH
189,Udaipur,Goverdhan Vilas,08-01-2024,21:00:00,233,Low,No,Foggy,NH
190,Udaipur,Chetak Circle,08-01-2024,22:00:00,314,Low,Yes,Rainy,NH
191,Udaipur,Chetak Circle,08-01-2024,23:00:00,450,High,No,Foggy,NH
192,Udaipur,Chetak Circle,09-01-2024,00:00:00,110,Low,No,Clear,City Road
193,Udaipur,Goverdhan Vilas,09-01-2024,01:00:00,216,High,Yes,Clear,City Road
194,Udaipur,Hiran Magri,09-01-2024,02:00:00,308,High,No,Rainy,City Road
195,Udaipur,Udiapole,09-01-2024,03:00:00,247,Low,Yes,Foggy,Residential
196,Udaipur,Hiran Magri,09-01-2024,04:00:00,472,Medium,Yes,Rainy,City Road
197,Udaipur,Udiapole,09-01-2024,05:00:00,292,Medium,Yes,Rainy,NH
198,Udaipur,Chetak Circle,09-01-2024,06:00:00,210,Low,No,Clear,NH
199,Udaipur,Goverdhan Vilas,09-01-2024,07:00:00,495,Low,No,Clear,Residential
200,Udaipur,Udiapole,09-01-2024,08:00:00,177,Medium,Yes,Rainy,City Road
201,Udaipur,Hiran Magri,09-01-2024,09:00:00,260,Low,Yes,Clear,City Road
202,Udaipur,Chetak Circle,09-01-2024,10:00:00,247,Medium,Yes,Clear,City Road
203,Udaipur,Surajpole,09-01-2024,11:00:00,200,Medium,No,Foggy,NH
204,Udaipur,Udiapole,09-01-2024,12:00:00,404,Medium,No,Foggy,Residential
205,Udaipur,Surajpole,09-01-2024,13:00:00,181,High,Yes,Foggy,NH
206,Udaipur,Fatehpura,09-01-2024,14:00:00,128,Low,Yes,Clear,NH
207,Udaipur,Udiapole,09-01-2024,15:00:00,305,Medium,Yes,Clear,Residential
208,Udaipur,Fatehpura,09-01-2024,16:00:00,348,Medium,No,Rainy,Residential
209,Udaipur,Hiran Magri,09-01-2024,17:00:00,262,Low,Yes,Rainy,City Road
210,Udaipur,Goverdhan Vilas,09-01-2024,18:00:00,289,High,Yes,Rainy,NH
211,Udaipur,Fatehpura,09-01-2024,19:00:00,133,High,No,Foggy,Residential
212,Udaipur,Goverdhan Vilas,09-01-2024,20:00:00,225,High,No,Clear,City Road
213,Udaipur,Udiapole,09-01-2024,21:00:00,499,Medium,Yes,Foggy,NH
214,Udaipur,Fatehpura,09-01-2024,22:00:00,294,High,Yes,Foggy,City Road
215,Udaipur,Udiapole,09-01-2024,23:00:00,358,High,Yes,Foggy,NH
216,Udaipur,Hiran Magri,10-01-2024,00:00:00,160,Medium,No,Rainy,City Road
217,Udaipur,Chetak Circle,10-01-2024,01:00:00,328,Low,Yes,Rainy,City Road
218,Udaipur,Fatehpura,10-01-2024,02:00:00,147,Low,Yes,Foggy,Residential
219,Udaipur,Hiran Magri,10-01-2024,03:00:00,123,Low,No,Clear,Residential
220,Udaipur,Goverdhan Vilas,10-01-2024,04:00:00,112,Medium,No,Rainy,NH
221,Udaipur,Goverdhan Vilas,10-01-2024,05:00:00,448,Medium,No,Rainy,Residential
222,Udaipur,Chetak Circle,10-01-2024,06:00:00,462,Medium,No,Foggy,Residential
223,Udaipur,Udiapole,10-01-2024,07:00:00,373,Low,Yes,Foggy,Residential
224,Udaipur,Chetak Circle,10-01-2024,08:00:00,272,Low,Yes,Clear,NH
225,Udaipur,Goverdhan Vilas,10-01-2024,09:00:00,202,Low,No,Clear,City Road
226,Udaipur,Udiapole,10-01-2024,10:00:00,61,High,No,Foggy,City Road
227,Udaipur,Goverdhan Vilas,10-01-2024,11:00:00,323,Medium,No,Foggy,NH
228,Udaipur,Surajpole,10-01-2024,12:00:00,60,High,Yes,Clear,Residential
229,Udaipur,Chetak Circle,10-01-2024,13:00:00,478,Low,No,Clear,City Road
230,Udaipur,Hiran Magri,10-01-2024,14:00:00,65,High,No,Rainy,Residential
231,Udaipur,Hiran Magri,10-01-2024,15:00:00,291,Medium,Yes,Foggy,NH
232,Udaipur,Fatehpura,10-01-2024,16:00:00,256,Medium,No,Foggy,NH
233,Udaipur,Udiapole,10-01-2024,17:00:00,224,Low,No,Rainy,City Road
234,Udaipur,Udiapole,10-01-2024,18:00:00,85,Medium,Yes,Clear,NH
235,Udaipur,Chetak Circle,10-01-2024,19:00:00,481,Medium,Yes,Rainy,NH
236,Udaipur,Fatehpura,10-01-2024,20:00:00,129,High,Yes,Foggy,City Road
237,Udaipur,Fatehpura,10-01-2024,21:00:00,134,Medium,No,Clear,NH
238,Udaipur,Chetak Circle,10-01-2024,22:00:00,395,Medium,Yes,Foggy,City Road
239,Udaipur,Goverdhan Vilas,10-01-2024,23:00:00,497,Low,No,Clear,City Road
240,Udaipur,Udiapole,11-01-2024,00:00:00,438,Medium,No,Clear,City Road
241,Udaipur,Chetak Circle,11-01-2024,01:00:00,118,Medium,Yes,Clear,NH
242,Udaipur,Udiapole,11-01-2024,02:00:00,325,Low,Yes,Foggy,City Road
243,Udaipur,Chetak Circle,11-01-2024,03:00:00,130,High,Yes,Foggy,NH
244,Udaipur,Udiapole,11-01-2024,04:00:00,400,High,No,Clear,City Road
245,Udaipur,Chetak Circle,11-01-2024,05:00:00,452,High,Yes,Clear,Residential
246,Udaipur,Fatehpura,11-01-2024,06:00:00,485,Low,Yes,Foggy,Residential
247,Udaipur,Hiran Magri,11-01-2024,07:00:00,494,Low,No,Foggy,Residential
248,Udaipur,Chetak Circle,11-01-2024,08:00:00,277,Medium,No,Foggy,NH
249,Udaipur,Goverdhan Vilas,11-01-2024,09:00:00,487,Low,Yes,Rainy,City Road
250,Udaipur,Hiran Magri,11-01-2024,10:00:00,135,Medium,Yes,Rainy,Residential
251,Udaipur,Surajpole,11-01-2024,11:00:00,124,High,No,Rainy,Residential
252,Udaipur,Surajpole,11-01-2024,12:00:00,377,High,No,Foggy,Residential
253,Udaipur,Surajpole,11-01-2024,13:00:00,227,Medium,No,Foggy,NH
254,Udaipur,Udiapole,11-01-2024,14:00:00,358,High,No,Foggy,NH
255,Udaipur,Hiran Magri,11-01-2024,15:00:00,427,High,No,Clear,City Road
256,Udaipur,Surajpole,11-01-2024,16:00:00,335,Medium,Yes,Foggy,Residential
257,Udaipur,Hiran Magri,11-01-2024,17:00:00,115,High,No,Foggy,NH
258,Udaipur,Goverdhan Vilas,11-01-2024,18:00:00,276,High,No,Rainy,NH
259,Udaipur,Goverdhan Vilas,11-01-2024,19:00:00,448,High,No,Foggy,Residential
260,Udaipur,Fatehpura,11-01-2024,20:00:00,274,Medium,Yes,Rainy,City Road
261,Udaipur,Udiapole,11-01-2024,21:00:00,282,Medium,Yes,Foggy,Residential
262,Udaipur,Fatehpura,11-01-2024,22:00:00,244,Low,Yes,Rainy,NH
263,Udaipur,Hiran Magri,11-01-2024,23:00:00,193,High,Yes,Rainy,City Road
264,Udaipur,Hiran Magri,12-01-2024,00:00:00,476,Medium,No,Foggy,NH
265,Udaipur,Surajpole,12-01-2024,01:00:00,270,Low,No,Rainy,NH
266,Udaipur,Chetak Circle,12-01-2024,02:00:00,168,High,Yes,Clear,City Road
267,Udaipur,Chetak Circle,12-01-2024,03:00:00,152,Low,Yes,Clear,NH
268,Udaipur,Hiran Magri,12-01-2024,04:00:00,433,High,No,Rainy,NH
269,Udaipur,Goverdhan Vilas,12-01-2024,05:00:00,181,Low,Yes,Foggy,Residential
270,Udaipur,Chetak Circle,12-01-2024,06:00:00,118,Medium,Yes,Clear,Residential
271,Udaipur,Hiran Magri,12-01-2024,07:00:00,466,Low,Yes,Foggy,City Road
272,Udaipur,Chetak Circle,12-01-2024,08:00:00,334,Low,No,Foggy,NH
273,Udaipur,Goverdhan Vilas,12-01-2024,09:00:00,181,Low,Yes,Rainy,City Road
274,Udaipur,Surajpole,12-01-2024,10:00:00,283,High,No,Clear,NH
275,Udaipur,Goverdhan Vilas,12-01-2024,11:00:00,288,Low,No,Rainy,NH
276,Udaipur,Hiran Magri,12-01-2024,12:00:00,260,Low,No,Clear,City Road
277,Udaipur,Goverdhan Vilas,12-01-2024,13:00:00,364,Low,Yes,Rainy,Residential
278,Udaipur,Fatehpura,12-01-2024,14:00:00,285,Low,No,Rainy,NH
279,Udaipur,Chetak Circle,12-01-2024,15:00:00,238,Low,No,Clear,NH
280,Udaipur,Fatehpura,12-01-2024,16:00:00,144,Medium,No,Clear,City Road
281,Udaipur,Surajpole,12-01-2024,17:00:00,369,Low,Yes,Foggy,City Road
282,Udaipur,Chetak Circle,12-01-2024,18:00:00,134,Medium,Yes,Clear,NH
283,Udaipur,Surajpole,12-01-2024,19:00:00,185,High,Yes,Clear,City Road
284,Udaipur,Udiapole,12-01-2024,20:00:00,446,Medium,Yes,Clear,City Road
285,Udaipur,Hiran Magri,12-01-2024,21:00:00,277,Low,No,Clear,NH
286,Udaipur,Udiapole,12-01-2024,22:00:00,261,Low,No,Clear,Residential
287,Udaipur,Chetak Circle,12-01-2024,23:00:00,91,Low,Yes,Rainy,City Road
288,Udaipur,Chetak Circle,13-01-2024,00:00:00,74,Medium,Yes,Foggy,City Road
289,Udaipur,Fatehpura,13-01-2024,01:00:00,307,Low,Yes,Clear,City Road
290,Udaipur,Surajpole,13-01-2024,02:00:00,65,Medium,Yes,Foggy,Residential
291,Udaipur,Fatehpura,13-01-2024,03:00:00,293,Medium,No,Rainy,City Road
292,Udaipur,Hiran Magri,13-01-2024,04:00:00,489,High,No,Rainy,NH
293,Udaipur,Surajpole,13-01-2024,05:00:00,472,Medium,No,Clear,NH
294,Udaipur,Fatehpura,13-01-2024,06:00:00,400,Medium,Yes,Rainy,City Road
295,Udaipur,Udiapole,13-01-2024,07:00:00,197,Medium,No,Rainy,NH
296,Udaipur,Udiapole,13-01-2024,08:00:00,305,Medium,Yes,Clear,NH
297,Udaipur,Chetak Circle,13-01-2024,09:00:00,458,High,Yes,Clear,Residential
298,Udaipur,Udiapole,13-01-2024,10:00:00,311,Low,No,Foggy,Residential
299,Udaipur,Udiapole,13-01-2024,11:00:00,66,High,No,Rainy,Residential
300,Udaipur,Udiapole,13-01-2024,12:00:00,466,High,Yes,Rainy,NH
301,Udaipur,Goverdhan Vilas,13-01-2024,13:00:00,436,Low,No,Foggy,City Road
302,Udaipur,Goverdhan Vilas,13-01-2024,14:00:00,491,Low,No,Clear,Residential
303,Udaipur,Udiapole,13-01-2024,15:00:00,125,High,No,Clear,Residential
304,Udaipur,Fatehpura,13-01-2024,16:00:00,72,Low,Yes,Foggy,Residential
305,Udaipur,Goverdhan Vilas,13-01-2024,17:00:00,371,Low,Yes,Clear,City Road
306,Udaipur,Hiran Magri,13-01-2024,18:00:00,324,Medium,Yes,Rainy,Residential
307,Udaipur,Chetak Circle,13-01-2024,19:00:00,154,Low,Yes,Rainy,City Road
308,Udaipur,Goverdhan Vilas,13-01-2024,20:00:00,70,Low,No,Rainy,City Road
